id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
,hwrc-nir-mul-2615ln08117,WML 26/15LN/08/117,,Donemana Civic Amenity Site,,Berryhill Road,,Tyrone,nir,BT82 0JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-2616ln0944,WML 26/16LN/09/44,,Newtownstewart Civic Amenity Site,,Douglas Road,,Tyrone,nir,BT78 4NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-2629ln1428,WML 26/29LN/14/28,,Strahans Road Household Waste Recycling Centre & WTS,,300m E of 11 STRAHANS ROAD,,Tyrone,nir,BT82 9SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-3103ln09105,WML 31/03LN/09/105,,Cregagh Road Civic Amenity Site,,368a Cregagh Road,,Antrim,nir,BT6 9EY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-3308ln1623,WML 33/08LN/16/23,,Pennyburn Household Waste Recycling and Reuse Centre,,6 Pennyburn Industrial Estate,,Londonderry,nir,BT48 0LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-3416ln2103,WML 34/16LN/21/03,,Gortrush Recycling Centre & Transfer Station,,2 GORTRUSH INDUSTRIAL ESTATE,,Tyrone,nir,BT78 5EJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-3614ln0957,WML 36/14LN/09/57/V2,,Redlands Recycling Centre,,Harbour Highway,,Antrim,nir,BT40 1AX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-3615ln0722,WML 36/15LN/07/22/V2,,Glenarm Household Recycling Centre,,Dickeystown Road,,Antrim,nir,BT44 0BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-3705ln1645,WML 37/05LN/16/45,,Cookstown Recycling Centre,,Molesworth Road,,Tyrone,nir,BT80 8PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-3717ln1818,WML 37/17LN/18/18,,Drumcoo Civic Amenity Site & Transfer Station,,Coalisland Road,,Tyrone,nir,BT71 4AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-3821ln1915,WML 38/21LN/19/15,,Downpatrick Household Recycling Centre,,14 14 Killough Road,,Down,nir,BT30 6QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
