Council,CouncilLabel
http://www.wikidata.org/entity/Q99229588,South Lanarkshire Council
http://www.wikidata.org/entity/Q73072752,South Norfolk District Council
http://www.wikidata.org/entity/Q105544722,South Northamptonshire Council
http://www.wikidata.org/entity/Q73072753,South Northamptonshire Council
http://www.wikidata.org/entity/Q65089301,South Oxfordshire District Council
http://www.wikidata.org/entity/Q73072755,South Ribble Borough Council
http://www.wikidata.org/entity/Q73072757,South Somerset District Council
http://www.wikidata.org/entity/Q105544726,South Staffordshire Council
http://www.wikidata.org/entity/Q73072759,South Staffordshire Council
http://www.wikidata.org/entity/Q23463529,South Tyneside Council
http://www.wikidata.org/entity/Q65089159,South Yorkshire County Council
http://www.wikidata.org/entity/Q17021809,Southampton City Council
http://www.wikidata.org/entity/Q7569516,Southend-on-Sea Borough Council
http://www.wikidata.org/entity/Q7571153,Southwark London Borough Council
http://www.wikidata.org/entity/Q73072774,Spelthorne Borough Council
http://www.wikidata.org/entity/Q7592257,St Albans City and District Council
http://www.wikidata.org/entity/Q73072776,St Edmundsbury Borough Council
http://www.wikidata.org/entity/Q17022094,St Helens Metropolitan Borough Council
http://www.wikidata.org/entity/Q73072778,Stafford Borough Council
http://www.wikidata.org/entity/Q6386295,Staffordshire County Council
http://www.wikidata.org/entity/Q73072779,Staffordshire Moorlands District Council
http://www.wikidata.org/entity/Q7615422,Stevenage Borough Council
http://www.wikidata.org/entity/Q99229589,Stirling Council
http://www.wikidata.org/entity/Q105536234,Stirling District Council
http://www.wikidata.org/entity/Q7618164,Stockport Metropolitan Borough Council
http://www.wikidata.org/entity/Q17022493,Stockton-on-Tees Borough Council
http://www.wikidata.org/entity/Q17022507,Stoke-on-Trent City Council
http://www.wikidata.org/entity/Q105545101,Stratford-on-Avon District Council
http://www.wikidata.org/entity/Q73072781,Stratford-on-Avon District Council
http://www.wikidata.org/entity/Q105582198,Strathclyde Regional Council
http://www.wikidata.org/entity/Q105536182,Strathkelvin District Council
http://www.wikidata.org/entity/Q28401169,Stroud District Council
http://www.wikidata.org/entity/Q73072783,Suffolk Coastal District Council
http://www.wikidata.org/entity/Q3305205,Suffolk County Council
http://www.wikidata.org/entity/Q17022675,Sunderland City Council
http://www.wikidata.org/entity/Q6386325,Surrey County Council
http://www.wikidata.org/entity/Q73072785,Surrey Heath Borough Council
http://www.wikidata.org/entity/Q7650288,Sutton London Borough Council
http://www.wikidata.org/entity/Q55098937,Swale Borough Council
http://www.wikidata.org/entity/Q16933626,Swansea County Borough Council
http://www.wikidata.org/entity/Q17040033,Swindon Borough Council
http://www.wikidata.org/entity/Q17041259,Tameside Metropolitan Borough Council
http://www.wikidata.org/entity/Q73072788,Tamworth Borough Council
http://www.wikidata.org/entity/Q73072790,Tandridge District Council
http://www.wikidata.org/entity/Q73072791,Taunton Deane Borough Council
http://www.wikidata.org/entity/Q105582197,Tayside Regional Council
http://www.wikidata.org/entity/Q21061639,Tees Valley Combined Authority
http://www.wikidata.org/entity/Q105544732,Teesdale District Council
http://www.wikidata.org/entity/Q73072792,Teignbridge District Council
http://www.wikidata.org/entity/Q17059334,Telford and Wrekin Council
http://www.wikidata.org/entity/Q73072799,Tendring District Council
http://www.wikidata.org/entity/Q73072801,Test Valley Borough Council
http://www.wikidata.org/entity/Q27183368,Tewkesbury Borough Council
http://www.wikidata.org/entity/Q7710261,Thanet District Council
http://www.wikidata.org/entity/Q7797746,Three Rivers District Council
http://www.wikidata.org/entity/Q1646552,Thurrock Council
http://www.wikidata.org/entity/Q16901812,Tonbridge and Malling Borough Council
http://www.wikidata.org/entity/Q17034697,Torbay Council
http://www.wikidata.org/entity/Q17034697,Torbay Council
http://www.wikidata.org/entity/Q73072804,Torridge District Council
http://www.wikidata.org/entity/Q7829677,Tower Hamlets London Borough Council
http://www.wikidata.org/entity/Q17034839,Trafford Metropolitan Borough Council
http://www.wikidata.org/entity/Q7985947,Transport for West Midlands
http://www.wikidata.org/entity/Q55098930,Tunbridge Wells Borough Council
http://www.wikidata.org/entity/Q105544735,Tynedale District Council
http://www.wikidata.org/entity/Q73072805,Uttlesford District Council
http://www.wikidata.org/entity/Q65090041,Vale of White Horse District Council
http://www.wikidata.org/entity/Q7961061,Wakefield Council
http://www.wikidata.org/entity/Q7963789,Walsall Metropolitan Borough Council
http://www.wikidata.org/entity/Q7966606,Waltham Forest London Borough Council
http://www.wikidata.org/entity/Q7967311,Wandsworth London Borough Council
http://www.wikidata.org/entity/Q105544736,Wansbeck District Council
http://www.wikidata.org/entity/Q17033474,Warrington Borough Council
http://www.wikidata.org/entity/Q73072810,Warwick District Council
http://www.wikidata.org/entity/Q17066348,Warwickshire County Council
http://www.wikidata.org/entity/Q7974596,Watford Borough Council
http://www.wikidata.org/entity/Q73072811,Waveney District Council
http://www.wikidata.org/entity/Q73072816,Waverley Borough Council
http://www.wikidata.org/entity/Q73072817,Wealden District Council
http://www.wikidata.org/entity/Q105544738,Wealdon District Council
http://www.wikidata.org/entity/Q105544740,Wear Valley District Council
http://www.wikidata.org/entity/Q73072820,Wellingborough Borough Council
http://www.wikidata.org/entity/Q7982137,Welwyn Hatfield Borough Council
http://www.wikidata.org/entity/Q105544741,Welwyn Hatfield District Council
http://www.wikidata.org/entity/Q17041496,West Berkshire Council
http://www.wikidata.org/entity/Q73072823,West Devon Borough Council
http://www.wikidata.org/entity/Q73072826,West Dorset District Council
http://www.wikidata.org/entity/Q99229590,West Dunbartonshire Council
http://www.wikidata.org/entity/Q73072828,West Lancashire Borough Council
http://www.wikidata.org/entity/Q73072831,West Lindsey District Council
http://www.wikidata.org/entity/Q7985814,West Lothian Council
http://www.wikidata.org/entity/Q105536184,West Lothian District Council
http://www.wikidata.org/entity/Q21061625,West Midlands Combined Authority
http://www.wikidata.org/entity/Q73072833,West Oxfordshire District Council
http://www.wikidata.org/entity/Q73072834,West Somerset District Council
http://www.wikidata.org/entity/Q73072837,West Suffolk Council
http://www.wikidata.org/entity/Q6386353,West Sussex County Council
http://www.wikidata.org/entity/Q105544742,West Wiltshire District Council
http://www.wikidata.org/entity/Q17035952,West Yorkshire Combined Authority
http://www.wikidata.org/entity/Q24993670,West of England Combined Authority
http://www.wikidata.org/entity/Q7989145,Westminster City Council
http://www.wikidata.org/entity/Q73072840,Weymouth and Portland Borough Council
http://www.wikidata.org/entity/Q7999507,Wigan Council
http://www.wikidata.org/entity/Q105536185,Wigtown District Council
http://www.wikidata.org/entity/Q1990879,Wiltshire Council
http://www.wikidata.org/entity/Q73072843,Winchester City Council
http://www.wikidata.org/entity/Q17038560,Windsor and Maidenhead Borough Council
http://www.wikidata.org/entity/Q17038877,Wirral Council
http://www.wikidata.org/entity/Q73072846,Woking Borough Council
http://www.wikidata.org/entity/Q17039435,Wokingham Borough Council
http://www.wikidata.org/entity/Q8030462,Wolverhampton City Council
http://www.wikidata.org/entity/Q73072848,Worcester City Council
http://www.wikidata.org/entity/Q8034245,Worcestershire County Council
http://www.wikidata.org/entity/Q55098923,Worthing Borough Council
http://www.wikidata.org/entity/Q105544744,Wrekin District Council
http://www.wikidata.org/entity/Q73072850,Wychavon District Council
http://www.wikidata.org/entity/Q65088676,Wycombe District Council
http://www.wikidata.org/entity/Q73072856,Wyre Borough Council
http://www.wikidata.org/entity/Q73072859,Wyre Forest District Council
http://www.wikidata.org/entity/Q17059453,York City Council
