Council,CouncilLabel
http://www.wikidata.org/entity/Q73072589,Copeland Borough Council
http://www.wikidata.org/entity/Q73072591,Corby Borough Council
http://www.wikidata.org/entity/Q105544678,Corby District Council
http://www.wikidata.org/entity/Q3774189,Cornwall Council
http://www.wikidata.org/entity/Q85754128,Cornwall County Council
http://www.wikidata.org/entity/Q5175478,Cotswold District Council
http://www.wikidata.org/entity/Q28195166,Council of the Isles of Scilly
http://www.wikidata.org/entity/Q5179058,Coventry City Council
http://www.wikidata.org/entity/Q73072595,Craven District Council
http://www.wikidata.org/entity/Q30255982,Crawley Borough Council
http://www.wikidata.org/entity/Q5189676,Croydon London Borough Council
http://www.wikidata.org/entity/Q5193868,Cumberland County Council
http://www.wikidata.org/entity/Q105536098,Cumbernauld and Kilsyth District Council
http://www.wikidata.org/entity/Q5194027,Cumbria County Council
http://www.wikidata.org/entity/Q105536100,Cumnock and Doon District Council
http://www.wikidata.org/entity/Q105536102,Cunninghame District Council
http://www.wikidata.org/entity/Q5207723,Dacorum Borough Council
http://www.wikidata.org/entity/Q16948698,Darlington Borough Council
http://www.wikidata.org/entity/Q55098919,Dartford Borough Council
http://www.wikidata.org/entity/Q73072596,Daventry District Council
http://www.wikidata.org/entity/Q5261430,Derby City Council
http://www.wikidata.org/entity/Q5261561,Derbyshire County Council
http://www.wikidata.org/entity/Q73072598,Derbyshire Dales District Council
http://www.wikidata.org/entity/Q105544681,Derwentside District Council
http://www.wikidata.org/entity/Q6385990,Devon County Council
http://www.wikidata.org/entity/Q105536188,Dinefwr District Council
http://www.wikidata.org/entity/Q16988947,Doncaster Metropolitan Borough Council
http://www.wikidata.org/entity/Q55609905,Dorset Council
http://www.wikidata.org/entity/Q5298839,Dorset County Council
http://www.wikidata.org/entity/Q55098918,Dover District Council
http://www.wikidata.org/entity/Q16991635,Dudley Metropolitan Borough Council
http://www.wikidata.org/entity/Q105536103,Dumbarton District Council
http://www.wikidata.org/entity/Q28528309,Dumfries and Galloway Council
http://www.wikidata.org/entity/Q105582204,Dumfries and Galloway Regional Council
http://www.wikidata.org/entity/Q28528294,Dundee City Council
http://www.wikidata.org/entity/Q105536105,Dunfermline District Council
http://www.wikidata.org/entity/Q105549349,Dungannon District Council
http://www.wikidata.org/entity/Q105544682,Durham City Council
http://www.wikidata.org/entity/Q5316492,Durham County Council
http://www.wikidata.org/entity/Q13127715,Dyfed County Council
http://www.wikidata.org/entity/Q5325486,Ealing London Borough Council
http://www.wikidata.org/entity/Q105544683,Easington District Council
http://www.wikidata.org/entity/Q28530252,East Ayrshire Council
http://www.wikidata.org/entity/Q28530252,East Ayrshire Council
http://www.wikidata.org/entity/Q65090031,East Cambridgeshire District Council
http://www.wikidata.org/entity/Q69118038,East Devon District Council
http://www.wikidata.org/entity/Q73072599,East Dorset District Council
http://www.wikidata.org/entity/Q28528289,East Dunbartonshire Council
http://www.wikidata.org/entity/Q73072602,East Hampshire District Council
http://www.wikidata.org/entity/Q5328577,East Hertfordshire District Council
http://www.wikidata.org/entity/Q105536106,East Kilbride District Council
http://www.wikidata.org/entity/Q73072603,East Lindsey District Council
http://www.wikidata.org/entity/Q28530253,East Lothian Council
http://www.wikidata.org/entity/Q105536107,East Lothian District Council
http://www.wikidata.org/entity/Q105544685,East Northamptonshire Council
http://www.wikidata.org/entity/Q73072604,East Northamptonshire Council
http://www.wikidata.org/entity/Q28528285,East Renfrewshire Council
http://www.wikidata.org/entity/Q16834390,East Riding County Council
http://www.wikidata.org/entity/Q16989282,East Riding of Yorkshire Council
http://www.wikidata.org/entity/Q73072606,East Staffordshire Borough Council
http://www.wikidata.org/entity/Q59536023,East Suffolk Council
http://www.wikidata.org/entity/Q5329458,East Sussex County Council
http://www.wikidata.org/entity/Q30588396,Eastbourne Borough Council
http://www.wikidata.org/entity/Q73072609,Eastleigh Borough Council
http://www.wikidata.org/entity/Q105536110,Eastwood District Council
http://www.wikidata.org/entity/Q73072611,Eden District Council
http://www.wikidata.org/entity/Q105536111,Edinburgh District Council
http://www.wikidata.org/entity/Q73072615,Elmbridge Borough Council
http://www.wikidata.org/entity/Q5377310,Enfield London Borough Council
http://www.wikidata.org/entity/Q73072617,Epping Forest District Council
http://www.wikidata.org/entity/Q73072619,Epsom and Ewell Borough Council
http://www.wikidata.org/entity/Q73072621,Erewash Borough Council
http://www.wikidata.org/entity/Q5399679,Essex County Council
