id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
873,hwrc-wal-swa-hb3097ts,HB3097TS,,Penlan Civic Amenity Site,,Penlan Civic Amenity Site,Penlan,,wal,SA5 7BX,51.64845737,-3.96234568,,,swa,City and County of Swansea Council,,,City and County of Swansea,,,,,,35154,,,0,,,,,,,44276,,,Q5123523
874,hwrc-wal-swa-hb3397tk,HB3397TK,,Clyne Civic Amenity Site,,Ynys Newydd,Clyne,,wal,SA2 8DY,51.60644401,-4.00019015,,,swa,City and County of Swansea Council,,,City and County of Swansea,,,,,,43307,,,0,,,,,,,44276,,,Q5123523
875,hwrc-wal-cmn-dp3091sz,DP3091SZ,,Wernddu Civic Amenity And Transfer Station,,"Wernddu Civic Amenity & Transfer Station, Wernddu Road",Ammanford,,wal,SA18 2UR,51.81996783,-3.963973032,,,cmn,Carmarthenshire County Council,,,CWM Environmental Ltd,,,,,,37932,,,0,,,,,,,44276,,,Q5043224
876,hwrc-wal-cmn-zp3698fp,ZP3698FP,,Trostre Civic Amenity / Transfer Station,,Trostre Road Ind Est,Llanelli,,wal,SA14 9UU,51.67314448,-4.139270327,,,cmn,Carmarthenshire County Council,,,CWM Environmental Ltd,,,,,,43241,,,0,,,,,,,44276,,,Q5043224
877,hwrc-wal-pow-lp3395fj,LP3395FJ,,The Graig Yffaldau Waste Transfer,,"The Graig Yffauldau Waste Transfer Station, Llandegley",Llandrindod Wells,,wal,LD1 5UD,52.25612482,-3.27337577,,,pow,Powys County Council,,,Powys Environmental Ltd,,,,,,43199,,,0,,,,,,,44276,,,Q7236943
878,hwrc-wal-cgn-jp3798fh,JP3798FH,,Penrhos Depot Hazardous Waste Transfer Station,,,Llandysul,,wal,SA44 4SX,52.08439817,-4.363427915,,,cgn,Ceredigion County Council,,,Ceredigion County Council,,,,,,39072,,,0,,,,,,,44276,,,Q5064127
879,hwrc-wal-cmn-cp3292em,CP3292EM,,Whitland Recycling Centre & Civic Amenity Site,,,Whitland,,wal,SA34 0AE,51.82006382,-4.623940996,,,cmn,Carmarthenshire County Council,,,CWM Environmental Ltd,,,,,,39041,,,0,,,,,,,44276,,,Q5043224
880,hwrc-wal-cgn-xb3397tp,XB3397TP,,Rhydeinon Civic Amenity Site,,Rhydeinon,Llanarth,,wal,SA47 0QP,52.16631538,-4.29579232,,,cgn,Ceredigion County Council,,,LAS Recycling Ltd,,,,,,43437,,,0,,,,,,,44276,,,Q5064127
881,hwrc-wal-pem-nb3193hn,NB3193HN,,Crane Cross Civic Amenity & Recycling Centre,,"Crane Cross, Devonshire Drive",Saundersfoot,,wal,SA69 9EE,51.70193653,-4.726200918,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,42853,,,0,,,,,,,44276,,,Q7161994
882,hwrc-wal-pem-fp3298fd,FP3298FD,,Hermon Civic Amenity and recycling centre,,Hermon,Crymych,,wal,SA41 3QT,51.95833064,-4.63048326,,,pem,Pembrokeshire County Council,,,Pembrokeshire County Council,,,,,,43012,,,0,,,,,,,44276,,,Q7161994
